type,time,last_add_time,index,added_time,count,mean_0,mean_1,sigma,param_P,param_I,param_D,param_R
manager_state,30731.0,29375.0,,,,,,,,,,
cloud,,,29.0,629.0,255.0,-7.084868775518999,0.0,50.19536556632407,0.0,0.0,0.0,0.0538264776718125
cloud,,,30.0,819.0,360.0,-4.18140720431884,0.0,17.484166208329498,0.0,0.0,0.0,0.0466458666989641
cloud,,,31.0,1787.0,1384.0,0.4071977170920903,0.0,0.16580998080501,0.0,0.0,0.0,-0.0037382979863168
cloud,,,32.0,1800.0,1022.0,1.4339522289437752,0.0,2.056218994892821,0.0,0.0,0.0,-0.0248644332582702
cloud,,,33.0,1817.0,598.0,1.7099313773077631,0.0,2.9238653151016245,0.0,0.0,0.0,-0.0153700949387253
cloud,,,34.0,1830.0,461.0,3.241363281180345,0.0,10.506435920584217,0.0,0.0,0.0,-0.0274708377240382
cloud,,,35.0,1843.0,325.0,4.300609410754356,0.0,18.495241303868934,0.0,0.0,0.0,-0.0246439348442514
cloud,,,36.0,1856.0,396.0,5.05,0.0,25.5025,0.0,0.0,0.0,-0.0393996497129141
cloud,,,37.0,1899.0,250.0,4.576503434699262,0.0,20.944383687814145,0.0,0.0,0.0,-0.018523020632045
cloud,,,38.0,1912.0,437.0,3.637219200789753,0.0,13.22936351459365,0.0,0.0,0.0,-0.0294968338009264
cloud,,,39.0,1935.0,1262.0,0.9227361118909444,0.0,0.8514419321876172,0.0,0.0,0.0,-0.0184142756423853
cloud,,,40.0,2105.0,556.0,2.0488516386349405,0.0,4.197793037137081,0.0,0.0,0.0,-0.0178473001241017
cloud,,,41.0,2123.0,483.0,2.38164353044366,0.0,5.672225906104139,0.0,0.0,0.0,-0.0178672332268685
cloud,,,42.0,2137.0,465.0,2.960396923249337,0.0,8.763949943184139,0.0,0.0,0.0,-0.0237143139741421
cloud,,,43.0,2154.0,353.0,3.9921681651169103,0.0,15.937406658572918,0.0,0.0,0.0,-0.0246910394585855
cloud,,,44.0,2234.0,409.0,2.682934328872464,0.0,7.198136613042338,0.0,0.0,0.0,-0.0168403890187292
cloud,,,45.0,11296.0,140.0,-8.939375349898219,0.0,79.9124316463679,0.0,0.0,0.0,0.0483201356418725
cloud,,,46.0,11330.0,91.0,-10.025375094958466,0.0,100.50814579461348,0.0,0.0,0.0,0.0397988397443952
cloud,,,47.0,11355.0,98.0,-9.557977129918148,0.0,91.35492681603831,0.0,0.0,0.0,0.0407742216216812
cloud,,,48.0,11667.0,49.0,-12.39294963038131,0.0,153.58520054116823,0.0,0.0,0.0,0.0328384889387913
cloud,,,49.0,11680.0,29.0,-14.199568852478285,0.0,201.62775559627147,0.0,0.0,0.0,0.0273897884563366
cloud,,,50.0,11693.0,15.0,-13.830168848004472,0.0,191.2735703643133,0.0,0.0,0.0,0.0219861705352811
cloud,,,51.0,11706.0,20.0,-14.60536217612938,0.0,213.3166042959108,0.0,0.0,0.0,0.0242562416279731
cloud,,,52.0,11784.0,23.0,-13.08680570180896,0.0,171.2644834768995,0.0,0.0,0.0,0.024425679725744
cloud,,,53.0,11807.0,6.0,-13.361997431608486,0.0,178.54297536231178,0.0,0.0,0.0,0.01888738640583
cloud,,,54.0,12226.0,26.0,-12.790017237904356,0.0,163.58454094589058,0.0,0.0,0.0,0.0257284959829196
cloud,,,55.0,13559.0,3.0,-14.960650646004268,0.0,223.82106775178792,0.0,0.0,0.0,0.0200372685491656
cloud,,,56.0,25311.0,81.0,-2.121665706059031,-0.5,4.751465368266966,0.0,0.0,0.0,0.027238250968955127
cloud,,,57.0,25324.0,273.0,-1.120329465162051,-0.5,1.5051381105102872,0.0,0.0,0.0,0.03182658252651619
cloud,,,58.0,25339.0,173.0,-1.4211154459561797,-0.5,2.269569110735232,0.0,0.0,0.0,0.029845873712684042
cloud,,,59.0,25360.0,149.0,-1.7391534857007371,-0.5,3.2746548468250243,0.0,0.0,0.0,0.030372260829098666
cloud,,,60.0,25393.0,307.0,-0.8260525508234693,-0.5,0.9323628167219604,0.0,0.0,0.0,0.029985217928613826
cloud,,,61.0,25443.0,451.0,-0.4856575690771237,-0.5,0.4858632744019012,0.0,0.0,0.0,0.02882523010892052
cloud,,,62.0,25517.0,390.0,-0.1816229481649841,-0.5,0.2829868953001405,0.0006282169137811687,0.0,0.0,0.022199356729400176
cloud,,,63.0,25655.0,476.0,0.2053058619359674,-0.5,0.2921504969452705,0.00011749174913748312,0.0,0.0,0.019185051285844367
cloud,,,64.0,25668.0,360.0,1.0064317595298,-0.5,1.2629048865902492,0.0,0.0,0.0,0.009279383056682121
cloud,,,65.0,25682.0,411.0,0.5721878129887713,-0.5,0.5773988933328731,0.0,0.0,0.0,0.013162558046374196
cloud,,,66.0,25788.0,275.0,1.2837613017269072,-0.5,1.8980430798115635,0.0,0.0,0.0,0.008967138097304478
cloud,,,67.0,25801.0,176.0,1.652602003808139,-0.5,2.9810933829906765,0.0,0.0,0.0,0.011323272798161593
cloud,,,68.0,25858.0,162.0,1.985574138665551,-0.5,4.192504660137445,0.0,0.0,0.0,0.0102186698379393
cloud,,,69.0,25893.0,140.0,2.273455287312616,-0.5,5.41859894340969,0.0,0.0,0.0,0.0102618109957726
cloud,,,70.0,26906.0,99.0,-2.549690784613241,-0.5,6.750923097141687,0.0,0.0,0.0,0.0301656323547086
cloud,,,71.0,26919.0,62.0,-4.452827262634804,-0.5,20.07767063086376,0.0,0.0,0.0,0.0310453061539198
cloud,,,72.0,26935.0,93.0,-4.730454318715772,-0.5,22.6271980614567,0.0,0.0,0.0,0.0369358761776685
cloud,,,73.0,26955.0,42.0,-4.126261615915249,-0.5,17.276034922975523,0.0,0.0,0.0,0.0273897565823028
cloud,,,74.0,26992.0,47.0,-3.816332825949991,-0.5,14.81439623842344,0.0,0.0,0.0,0.0276659665320792
cloud,,,75.0,27005.0,47.0,-5.866592802151681,-0.5,34.66691110625791,0.0,0.0,0.0,0.0309892158996713
cloud,,,76.0,27018.0,53.0,-8.703687052307624,-0.5,76.00416830450737,0.0,0.0,0.0,0.0375452817929748
cloud,,,77.0,27031.0,54.0,-9.033229387881343,-0.5,81.84923317408318,0.0,0.0,0.0,0.0384475906193478
cloud,,,78.0,27044.0,46.0,-8.353719498341306,-0.5,70.03462945696772,0.0,0.0,0.0,0.0347165197760216
cloud,,,79.0,27057.0,44.0,-7.433062165286299,-0.5,55.50041315301064,0.0,0.0,0.0,0.0327817248239959
cloud,,,80.0,27080.0,41.0,-7.784316711997794,-0.5,60.84558667268816,0.0,0.0,0.0,0.0326754190387208
cloud,,,81.0,27094.0,43.0,-6.826136171307487,-0.5,46.84613502923244,0.0,0.0,0.0,0.0316880242400919
cloud,,,82.0,27121.0,64.0,-5.310381254115228,-0.5,28.450149064058422,0.0,0.0,0.0,0.0332706656261378
cloud,,,83.0,27134.0,29.0,-10.921281327145042,-0.5,119.52438582664698,0.0,0.0,0.0,0.0325822781006931
cloud,,,84.0,27147.0,22.0,-11.469416683004916,-0.5,131.7975190483915,0.0,0.0,0.0,0.0302976882600999
cloud,,,85.0,27160.0,26.0,-10.255828444806548,-0.5,105.4320170893031,0.0,0.0,0.0,0.0307626485538526
cloud,,,86.0,27173.0,32.0,-9.350914918600605,-0.5,87.68960981490733,0.0,0.0,0.0,0.0319190407185373
cloud,,,87.0,27189.0,22.0,-9.650277753320012,-0.5,93.37786071622314,0.0,0.0,0.0,0.0289697227049143
cloud,,,88.0,27218.0,40.0,-6.491970623841047,-0.5,42.39568258081511,0.0,0.0,0.0,0.0305877082192929
cloud,,,89.0,27247.0,46.0,-3.5398269930578747,-0.5,12.780375140781157,0.0,0.0,0.0,0.0270590670811595
cloud,,,90.0,27260.0,47.0,-2.8268209261305914,-0.5,8.240916548409814,0.0,0.0,0.0,0.0262262659088087
cloud,,,91.0,27386.0,45.0,-3.21497281100384,-0.5,10.58605017549393,0.0,0.0,0.0,0.0265478674021021
cloud,,,92.0,27422.0,30.0,-5.005341058041671,-0.5,25.30343910731771,0.0,0.0,0.0,0.0267838706441698
cloud,,,93.0,27533.0,14.0,-7.1553244422820566,-0.5,51.44866787431902,0.0,0.0,0.0,0.0250936897187399
cloud,,,94.0,27574.0,25.0,-6.168311132594695,-0.5,38.29806222849165,0.0,0.0,0.0,0.0269956495044512
cloud,,,95.0,27610.0,23.0,-12.001462148355586,-0.5,144.28509369841186,0.0,0.0,0.0,0.031330251460076
cloud,,,96.0,27643.0,6.0,-10.572386750851464,-0.5,112.0253616095796,0.0,0.0,0.0,0.0238896308948834
cloud,,,97.0,27666.0,12.0,-9.965386074319914,-0.5,99.55891961024928,0.0,0.0,0.0,0.025834141656227
cloud,,,98.0,27886.0,10.0,-5.591614203228954,-0.5,31.51614939775177,0.0,0.0,0.0,0.0236494951536094
cloud,,,99.0,28270.0,141.0,2.592598314906256,-0.5,6.971566022454757,0.0,0.0,0.0,0.0091148267814211
cloud,,,100.0,28283.0,97.0,2.886896943051485,-0.5,8.58417395980001,0.0,0.0,0.0,0.0121139407086427
cloud,,,101.0,28538.0,28.0,3.233273156217181,-0.5,10.704055302714616,0.0,0.0,0.0,0.0187206726186839
cloud,,,102.0,28651.0,76.0,3.590075053409579,-0.5,13.138638889113793,0.0,0.0,0.0,0.0121445118030153
cloud,,,103.0,29375.0,23.0,3.937443138360077,-0.5,15.753458467818854,0.0,0.0,0.0,0.0184820581383925
